layer,feature_idx,unc_effect,inc_effect,acc_selection,acc_delta_selection,ent_selection,ent_delta_selection,beneficial
16,21747,2.600042036508847,0.5764783144361535,0.6303945306936334,0.22788776527560284,0.746427862761109,-0.07627273400027235,True
16,6093,0.41654066747641905,0.3422595586822752,0.6286853724540664,0.05697194131890626,0.8225184162779412,-0.00018218048344009752,True
16,24846,0.5662054768087661,0.22830023295891005,0.6275459336276884,-0.05697194131889516,0.8204333351726308,-0.0022672615887504577,False
16,4776,0.2261699258983775,0.2394805367285943,0.6284005127474719,0.02848597065945313,0.8231529055460131,0.00045230878463176083,False
20,28843,3.523635109940999,0.4212022381955826,0.6318188292266059,0.3703176185728574,0.6981978380968117,-0.12450275866456961,True
20,9495,1.8492201862610431,0.33297813903362944,0.6279732231875801,-0.014242985329726565,0.7483304599076847,-0.07437013685369664,False
20,32003,0.2796295203605072,0.2615112547892574,0.6281156530408774,0.0,0.8224259799094562,-0.00027461685192509133,True
24,18192,3.8559086652063477,0.4392367603961049,0.6343825665859564,0.6266913545079023,0.6356843315531032,-0.18701626520827808,True
24,13232,1.2676479216316725,0.38359617652641714,0.6118786497649907,-1.623700327588662,0.8112829395541606,-0.011417657207220655,False
24,29371,1.6781111680138165,0.3642665782065313,0.6313915396667141,0.3275886625836777,0.6542582270371236,-0.16844236972425775,True
24,27356,0.7841751530560123,0.161789543573139,0.6292550918672554,0.11394388263780142,0.820656125493302,-0.002044471268079273,True
28,13351,1.273156505031908,0.32898987537320323,0.6030479988605612,-2.50676541803162,0.7997569122336187,-0.02294368452776263,False
28,28733,1.0460193607714698,0.26596996361509556,0.6281156530408774,0.0,0.8179534142461534,-0.004747182515227877,True
28,19290,2.4534708685688282,0.24686901458253577,0.6242700470018516,-0.38456060390257285,0.6783373195404674,-0.1443632772209139,False
28,5890,3.5186823892170382,0.240884079927817,0.6302521008403361,0.21364477994587627,0.7992299744969966,-0.023470622264384677,True
31,29282,1.3203431965189047,0.520126345363247,0.5288420452926933,-9.927360774818405,0.7393111618525676,-0.08338943490881368,False
31,28707,2.509824094403616,0.460728113438376,0.6282580828941746,0.014242985329726565,0.8181641473400509,-0.0045364494213303574,True
31,2354,1.0025383705863793,0.4472216822219617,0.6278307933342828,-0.02848597065945313,0.824007629018806,0.0013070322574246784,False
31,23605,1.5669402350743438,0.3666381372280695,0.6272610739210939,-0.08545791197834829,0.7558487850116541,-0.06685181174972721,False
31,19864,1.5835168331159786,0.3360433599994719,0.5641646489104116,-6.395100413046572,0.7912613596422833,-0.03143923711909802,False
31,32006,0.4360220956403959,0.3129970644453957,0.6276883634809857,-0.04272895598916859,0.8177873702843701,-0.004913226477011201,False
31,16986,0.48684632944916356,0.30566230964352326,0.6281156530408774,0.0,0.8195464219695697,-0.0031541747918115703,True
31,20182,0.2732256045703991,0.25422910109248625,0.6275459336276884,-0.05697194131889516,0.8230505724834285,0.0003499757220472022,False
31,20677,0.4229142538932132,0.1543819523485042,0.6279732231875801,-0.014242985329726565,0.8226580889376904,-4.25078236908627e-05,False
